# Created by Octave 8.4.0, Mon May 11 13:35:48 2026 -03 <diego@dieguito>
# name: data
# type: matrix
# rows: 10
# columns: 2
 8 0.00013685226440429688
 16 1.270430428641183e-05
 32 1.3283320835658482e-05
 64 4.3698719569614953e-05
 128 0.00029696737016950337
 256 0.0009175709315708705
 512 0.0049534184592110774
 1024 0.02371328217642648
 2048 0.19107331548418319
 4096 1.3172362531934465


