2097152 0.003574
2097152 0.003347
2097152 0.003244
2097152 0.003367
2097152 0.003374
2097152 0.004249
2097152 0.003650
4194304 0.006745
4194304 0.006435
4194304 0.006754
4194304 0.006946
4194304 0.008048
4194304 0.006786
4194304 0.007278
8388608 0.013260
8388608 0.014048
8388608 0.012952
8388608 0.013269
8388608 0.012783
8388608 0.012579
8388608 0.013978
16777216 0.029018
16777216 0.028055
16777216 0.029629
16777216 0.030164
16777216 0.030972
16777216 0.029965
16777216 0.028767
33554432 0.062700
33554432 0.063017
33554432 0.058822
33554432 0.065170
33554432 0.056635
33554432 0.062609
33554432 0.060036
67108864 0.128826
67108864 0.130702
67108864 0.124583
67108864 0.120814
67108864 0.121793
67108864 0.123333
67108864 0.121318
