2097152 0.006680
2097152 0.006684
2097152 0.006400
2097152 0.006196
2097152 0.006610
2097152 0.007054
2097152 0.006663
4194304 0.012863
4194304 0.013151
4194304 0.013356
4194304 0.012909
4194304 0.012814
4194304 0.012544
4194304 0.012321
8388608 0.024906
8388608 0.025145
8388608 0.027213
8388608 0.025432
8388608 0.025254
8388608 0.026355
8388608 0.024142
16777216 0.051187
16777216 0.051008
16777216 0.054489
16777216 0.048219
16777216 0.051170
16777216 0.052749
16777216 0.053263
33554432 0.100753
33554432 0.103625
33554432 0.097994
33554432 0.104635
33554432 0.105186
33554432 0.096702
33554432 0.104330
67108864 0.201677
67108864 0.204992
67108864 0.205028
67108864 0.207052
67108864 0.203795
67108864 0.203970
67108864 0.202372
